2012-03-24 15:07:33,812 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=35CEC63C E2773DA8 D90A44F4 F9B2172C , used 9 seconds.
2012-03-24 15:07:33,812 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=17,knownClosestNodes.size()=10
2012-03-24 15:07:33,812 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=1E1A11F8 7794362D 19DC0F97 B6902B60 
2012-03-24 15:07:46,296 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=1E1A11F8 7794362D 19DC0F97 B6902B60 , used 12 seconds.
2012-03-24 15:07:46,296 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=17,knownClosestNodes.size()=10
2012-03-24 15:07:46,296 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=0A6C9D86 273555EE 45A0E145 C9B7789B 
2012-03-24 15:08:06,405 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=0A6C9D86 273555EE 45A0E145 C9B7789B , used 20 seconds.
2012-03-24 15:08:06,405 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=28,knownClosestNodes.size()=10
2012-03-24 15:08:06,405 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=06C92702 1B546427 8E994557 B2BEFB9B 
2012-03-24 15:08:24,890 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=06C92702 1B546427 8E994557 B2BEFB9B , used 18 seconds.
2012-03-24 15:08:24,890 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=23,knownClosestNodes.size()=10
2012-03-24 15:08:24,890 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=E6DEB0FF F75EBD2B B96069AA 58443118 
2012-03-24 15:08:46,405 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=E6DEB0FF F75EBD2B B96069AA 58443118 , used 21 seconds.
2012-03-24 15:08:46,405 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=26,knownClosestNodes.size()=10
2012-03-24 15:08:46,405 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=247D2EAD 1480B409 CDFF3A83 2313E799 
2012-03-24 15:08:59,655 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=247D2EAD 1480B409 CDFF3A83 2313E799 , used 13 seconds.
2012-03-24 15:08:59,655 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=19,knownClosestNodes.size()=10
2012-03-24 15:08:59,655 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=DF1F55D7 0077A6DF B28A3A25 365203C9 
2012-03-24 15:09:19,124 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=DF1F55D7 0077A6DF B28A3A25 365203C9 , used 19 seconds.
2012-03-24 15:09:19,124 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=26,knownClosestNodes.size()=10
2012-03-24 15:09:19,124 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=BB3072B9 2C65A0AD 6A83510A CED1E350 
2012-03-24 15:09:31,952 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=BB3072B9 2C65A0AD 6A83510A CED1E350 , used 12 seconds.
2012-03-24 15:09:31,952 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=18,knownClosestNodes.size()=10
2012-03-24 15:09:31,952 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=81E2BABE AD08A12F 7C4B9F33 9FD539C5 
2012-03-24 15:09:54,218 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=81E2BABE AD08A12F 7C4B9F33 9FD539C5 , used 22 seconds.
2012-03-24 15:09:54,218 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=28,knownClosestNodes.size()=10
2012-03-24 15:09:54,218 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=ECA51224 91EC6985 41F4D917 38E153EB 
2012-03-24 15:10:13,999 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=ECA51224 91EC6985 41F4D917 38E153EB , used 19 seconds.
2012-03-24 15:10:13,999 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=27,knownClosestNodes.size()=10
2012-03-24 15:10:13,999 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=1B9C179F BD312D81 0F36D68A 25ECB2F0 
2012-03-24 15:10:32,765 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=1B9C179F BD312D81 0F36D68A 25ECB2F0 , used 18 seconds.
2012-03-24 15:10:32,765 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=27,knownClosestNodes.size()=10
2012-03-24 15:10:32,765 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=21681C52 CEA0BE5E 71D792D9 1572BD9E 
2012-03-24 15:10:48,343 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=21681C52 CEA0BE5E 71D792D9 1572BD9E , used 15 seconds.
2012-03-24 15:10:48,343 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=21,knownClosestNodes.size()=10
2012-03-24 15:10:48,343 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=5B96EC59 3459FDB5 0D81CFEF 6CA216A8 
2012-03-24 15:11:11,218 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=5B96EC59 3459FDB5 0D81CFEF 6CA216A8 , used 22 seconds.
2012-03-24 15:11:11,218 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=31,knownClosestNodes.size()=10
2012-03-24 15:11:11,218 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=05F3F5EC BF99D660 F4F6FA84 4412E1BD 
2012-03-24 15:11:27,124 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=05F3F5EC BF99D660 F4F6FA84 4412E1BD , used 15 seconds.
2012-03-24 15:11:27,124 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=25,knownClosestNodes.size()=10
2012-03-24 15:11:27,124 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=0B278953 2A2006B3 C17653C7 7B0C6F5E 
2012-03-24 15:11:49,077 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=0B278953 2A2006B3 C17653C7 7B0C6F5E , used 21 seconds.
2012-03-24 15:11:49,077 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=29,knownClosestNodes.size()=10
2012-03-24 15:11:49,077 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=7924B80B 984F7A39 1CBA9D40 22643D7C 
2012-03-24 15:12:01,796 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=7924B80B 984F7A39 1CBA9D40 22643D7C , used 12 seconds.
2012-03-24 15:12:01,796 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=22,knownClosestNodes.size()=10
2012-03-24 15:12:01,796 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=3CE2216E 14392584 415BB3EA 17DA0C45 
2012-03-24 15:12:11,109 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=3CE2216E 14392584 415BB3EA 17DA0C45 , used 9 seconds.
2012-03-24 15:12:11,109 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=17,knownClosestNodes.size()=10
2012-03-24 15:12:11,109 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=6F030FE9 FB09F3FA A2D16AAB 43264E52 
2012-03-24 15:12:23,124 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=6F030FE9 FB09F3FA A2D16AAB 43264E52 , used 12 seconds.
2012-03-24 15:12:23,124 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=10,knownClosestNodes.size()=10
2012-03-24 15:12:23,124 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=76990881 3F391AD9 27D9DB6A A82C1F68 
2012-03-24 15:12:38,140 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=76990881 3F391AD9 27D9DB6A A82C1F68 , used 15 seconds.
2012-03-24 15:12:38,140 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=19,knownClosestNodes.size()=10
2012-03-24 15:12:38,140 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=1EC010BC 2CF61461 97978BB8 4FE8376D 
2012-03-24 15:12:55,452 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=1EC010BC 2CF61461 97978BB8 4FE8376D , used 17 seconds.
2012-03-24 15:12:55,452 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=22,knownClosestNodes.size()=10
2012-03-24 15:12:55,452 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=E358434F B69762DC EAE22E2F 3F2FA01E 
2012-03-24 15:13:09,202 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=E358434F B69762DC EAE22E2F 3F2FA01E , used 13 seconds.
2012-03-24 15:13:09,202 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=23,knownClosestNodes.size()=10
2012-03-24 15:13:09,202 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=61BD4B6D 165C12B9 5D037018 CA2E8465 
2012-03-24 15:13:21,202 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=61BD4B6D 165C12B9 5D037018 CA2E8465 , used 12 seconds.
2012-03-24 15:13:21,202 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=10,knownClosestNodes.size()=10
2012-03-24 15:13:21,202 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=4BF93EED 9132F8B6 0947FCC4 23FA3011 
2012-03-24 15:13:38,280 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=4BF93EED 9132F8B6 0947FCC4 23FA3011 , used 17 seconds.
2012-03-24 15:13:38,280 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=22,knownClosestNodes.size()=10
2012-03-24 15:13:38,280 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=573254F5 DF55F437 F4DE5F0C F2AECBD4 
2012-03-24 15:13:59,609 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=573254F5 DF55F437 F4DE5F0C F2AECBD4 , used 21 seconds.
2012-03-24 15:13:59,609 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=28,knownClosestNodes.size()=10
2012-03-24 15:13:59,609 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=D9194E0F ED993FD2 881BF9B0 C1818AEF 
2012-03-24 15:14:15,234 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=D9194E0F ED993FD2 881BF9B0 C1818AEF , used 15 seconds.
